Sessions,Week Calendar,Players,Distance (m),Distance - Distance/time (m/min),Duration (min),"Acceleration Zones (count) [3.0, 4.0]","Acceleration Zones (count) [-4.0, -3.0]","Acceleration Zones (count) [4.0, 10.0]","Acceleration Zones (count) [-10.0, -4.0]",Accelerations - High Intensity Acc Abs (m),Accelerations - High Intensity Dec Abs (m),"Speed Zones (m) [15.0, 20.0]","Speed Zones (m) [20.0, 25.0]","Speed Zones (m) [25.0, 50.0]",Load - Power Metabolic AVG (W/kg),Sprints - Sprints Abs (count/min),Total Load,Load Intensity,Fatigue Score
MARTI 25.11.2025  (AEROB ),74,Moraru,10094,112.64,89.62,34,28,3,8,213.08,226,1746.2,97.64,0.0,9.8,0.0,23.775599999999997,112.63110912742691,4.384089264627459
TEHNIC + TACTIC -29.11.2025,74,Moraru,4684,49.32,94.97,29,25,6,4,250.97,167,122.55,198.05,108.01,6.0,0.05,16.50942,49.32083815941876,3.0442458229119715
Tactic 26.11.2025,74,Moraru,7008,74.73,93.78,39,14,10,5,239.38,102,295.32,50.74,6.46,7.9,0.01,17.84852,74.72808701215611,3.2911684635293543
VINERI 28.11.2025,74,Moraru,6326,60.8,104.04,20,12,1,1,77.2,47,730.42,0.0,0.0,6.8,0.0,12.21,60.803537101114955,2.2514565319529805
Joi 20.11.2025,73,Moraru,5955,51.96,114.61,41,17,3,2,262.51,97,436.89,40.44,92.4,6.2,0.03,16.58,51.95881685716779,3.057260384912401
vineri 21.11.2025,73,Moraru,0,0.0,93.68,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUMINICA - REACTIVITATE 30.11.2025,74,Miguel,5720,62.01,92.24,44,45,22,17,318.28,328,340.12,103.89,10.87,6.9,0.01,22.167340000000003,62.01214223764094,4.087535007290957
JOI 27.11.2025 FORTA-SSG ,74,Miguel,3015,83.73,36.03,37,27,4,16,215.82,198,270.55,33.84,0.0,8.2,0.0,15.391399999999999,83.68026644462947,2.8380891126864127
MARTI 25.11.2025  (AEROB ),74,Miguel,8807,98.28,89.62,45,38,7,16,266.51,298,1283.52,146.75,10.83,9.2,0.02,24.81886,98.27047534032582,4.576460643949758
TEHNIC + TACTIC -29.11.2025,74,Miguel,4969,52.32,94.97,25,16,7,8,225.09,125,237.37,245.41,93.5,5.6,0.05,15.207799999999999,52.3217858271033,2.8042342871936556
Tactic 26.11.2025,74,Miguel,6408,68.34,93.78,60,30,13,14,379.72,233,496.84,64.62,24.13,7.4,0.01,22.46066,68.33013435700576,4.14162159451065
VINERI 28.11.2025,74,Miguel,7062,67.88,104.04,49,43,7,16,289.17,280,578.78,152.28,11.38,7.1,0.03,22.168160000000004,67.87773933102652,4.087686210759934
Joi 20.11.2025,73,Miguel,6165,53.79,114.61,32,27,11,9,267.71,144,335.33,132.39,68.48,5.7,0.03,17.53616,53.79111770351627,3.2335710055178195
MARTI 18.11.2025 Grupa 2,73,Miguel,5185,62.99,82.31,60,42,11,9,288.08,197,198.83,35.64,0.0,6.8,0.0,18.2866,62.99356092819827,3.3719479948576065
Miercuri 19.11.2025,73,Miguel,7076,76.84,92.08,39,25,13,13,443.15,243,686.34,635.94,42.16,7.9,0.04,25.03332,76.8462206776716,4.616005882921309
vineri 21.11.2025,73,Miguel,4919,52.51,93.68,57,36,8,16,244.95,174,145.39,48.04,0.0,5.6,0.0,16.098000000000003,52.50853970964987,2.9683822482701956
JOI 13.11.2025,72,Miguel,6001,66.98,89.6,42,41,13,13,340.43,226,497.43,358.02,2.85,7.6,0.0,21.1353,66.97544642857143,3.8972325339709935
Joc Amical Zibru,72,Miguel,10696,88.48,120.89,54,44,17,23,483.83,412,1211.54,427.43,102.66,9.4,0.08,33.91792,88.47712796757382,6.254277029832812
MIERCURI A2 12.11.2025 SSG,72,Miguel,3866,72.96,52.98,48,32,9,8,257.93,192,262.62,36.52,0.0,7.8,0.0,16.764599999999998,72.97093242733108,3.091299604879519
MIERECURI 12.112025,72,Miguel,3249,37.41,86.84,30,17,6,10,183.82,174,247.32,113.96,0.0,5.9,0.0,13.3554,37.413634269921694,2.4626619628865547
Vineri 14.11.2025,72,Miguel,5232,41.47,126.18,20,18,4,5,85.81,84,128.54,30.44,0.0,5.6,0.0,11.4282,41.46457441749881,2.1072969318972197
